order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,ref_num,Name Prefix,First Name,Middle Initial,Last Name,Gender,age,full_name,E Mail,Customer Since,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Discount_Percent
100354678,01-10-2020,received,574772,oasis_Oasis-064-36,21,89.9,1798,0,1798,Men's Fashion,cod,Valid,60124,2020,Oct-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100354678,01-10-2020,received,574774,Fantastic_FT-48,11,19,190,0,190,Men's Fashion,cod,Valid,60124,2020,Oct-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100354680,01-10-2020,complete,574777,mdeal_DMC-610-8,9,149.9,1199.2,0,1199.2,Men's Fashion,cod,Net,60124,2020,Oct-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100354680,01-10-2020,complete,574779,oasis_Oasis-061-36,9,79.9,639.2,0,639.2,Men's Fashion,cod,Net,60124,2020,Oct-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100367357,13-11-2020,received,595185,MEFNAR59C38B6CA08CD,2,99.9,99.9,0,99.9,Men's Fashion,cod,Valid,60124,2020,Nov-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100367357,13-11-2020,received,595186,MEFBUY59B7C3DDC2CA3-42,2,39.9,39.9,0,39.9,Men's Fashion,cod,Valid,60124,2020,Nov-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100367360,13-11-2020,order_refunded,595192,MATDAN59C3C845B38F0,2,47.6,47.6,0,47.6,Mobiles & Tablets,cod,Valid,60124,2020,Nov-20,987867,Drs.,Jani,W,Titus,F,43,"Titus, Jani",jani.titus@gmail.com,8/22/2006,627-31-5251,405-959-1129,Vinson,Harmon,Vinson,OK,73571,South,jwtitus,0
100354677,01-10-2020,canceled,574769,GFE_19_USBLEDLight,2,49,49,0,49,Mobiles & Tablets,Payaxis,Gross,42485,2020,Oct-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,0
100354677,01-10-2020,canceled,574770,oasis_Kingston-32GB-DTIG4,2,135,135,0,135,Computing,Payaxis,Gross,42485,2020,Oct-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,0
100354677,01-10-2020,canceled,574771,Geepas_GSB5420,2,549.9,549.9,0,549.9,Appliances,Payaxis,Gross,42485,2020,Oct-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,0
100356116,08-10-2020,order_refunded,577467,Geepas_GSB5420,1,549.9,0,0,0,Appliances,Payaxis,Valid,42485,2020,Oct-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,5.45553737
100358724,21-10-2020,order_refunded,581862,APPGEE59ADBEEE2EB9D,1,549.9,0,0,0,Appliances,cod,Valid,42485,2020,Oct-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,3.637024914
100403034,24-12-2020,canceled,656937,APPWES59CA4D59CB41A,2,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255887
100403034,24-12-2020,canceled,656938,APPPHI5A09939191938,2,315.5,315.5,49.28917,266.21083,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255784
100403034,24-12-2020,canceled,656939,HALSHO59F836EF959B9,2,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62256447
100403077,24-12-2020,canceled,657023,APPWES59CA4D59CB41A,2,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255887
100403077,24-12-2020,canceled,657024,APPPHI5A09939191938,2,315.5,315.5,49.28917,266.21083,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255784
100403077,24-12-2020,canceled,657025,HALSHO59F836EF959B9,2,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62256447
100403411,24-12-2020,canceled,657547,APPWES59CA4D59CB41A,2,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255887
100403411,24-12-2020,canceled,657548,APPPHI5A09939191938,2,315.5,315.5,49.28917,266.21083,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255784
100403411,24-12-2020,canceled,657549,HALSHO59F836EF959B9,2,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62256447
100403502,24-12-2020,canceled,657702,APPWES59CA4D59CB41A,2,254.8,254.8,39.80628,214.99372,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255887
100403502,24-12-2020,canceled,657703,APPPHI5A09939191938,2,315.5,315.5,49.28917,266.21083,Appliances,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62255784
100403502,24-12-2020,canceled,657704,HALSHO59F836EF959B9,2,69.8,69.8,10.90455,58.89545,Home & Living,Easypay,Gross,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,15.62256447
100403536,24-12-2020,complete,657777,APPWES59CA4D59CB41A,3,254.8,509.6,101.92,407.68,Appliances,Easypay,Net,42485,2020,Dec-20,171143,Prof.,Lee,S,Eaker,M,28,"Eaker, Lee",lee.eaker@gmail.com,02-04-1981,185-86-4345,239-335-6755,Graham,Bradford,Graham,FL,32042,South,lseaker,20
